SYMBOL,NAME OF COMPANY
HNDFDS,HINDUSTAN FOODS LTD.
NAHARINDUS,NAHAR INDUSTRIAL ENTERPRISES LTD.-$
VADILENT,VADILAL ENTERPRISES LTD.
VADILALIND,VADILAL INDUSTRIES LTD.-$
ASHAI,ASHIANA AGRO INDUSTRIES LTD.
ADFFOODS,ADF FOODS LTD.-$
RGRL,Retro Green Revolution Ltd
WILLIMFI,WILLIAMSON FINANCIAL SERVICES LTD.
AJANTSOY,AJANTA SOYA LTD.
WILLAMAGOR,WILLIAMSON MAGOR & COMPANY LTD.
RICHIRICH,Richirich Inventures Limited
SIEL,Superior Industrial Enterprises Limited
SPTRSHI,SAPTARISHI AGRO INDUSTRIES LTD.
SRDAPRT,SARDA PROTEINS LTD.
SANWARIA,Sanwaria Consumer Ltd-$
PRIMAGR,PRIMA AGRO LTD.
TARAI,TARAI FOODS LTD.
MODAIRY,MODERN DAIRIES LTD.
BAMBINO,BAMBINO AGRO INDUSTRIES LTD.
PRIMIND,PRIME INDUSTRIES LTD.
VIKASWSP,VIKAS WSP LTD.
JATALIA,Jatalia Global Ventures Ltd
VSFPROJ,VSF PROJECTS LTD.
BANSTEA,BANSISONS TEA INDUSTRIES LTD.
POONADAL,POONA DAL & OIL INDUSTRIES LTD.
TRANSFD,TRANSGLOBE FOODS LTD.
ANIKINDS,ANIK INDUSTRIES LTD.
SHINDL,SHARAT INDUSTRIES LTD.
DATIWARE,Datiware Maritime Infra Ltd
KMGMILK,KMG MILK FOOD LTD.
KSE,KSE LTD.-$
PIONAGR,PIONEER AGRO EXTRACTS LTD.
NARBADA,NARBADA GEMS AND JEWELLERY LTD.
VIRATCRA,VIRAT CRANE INDUSTRIES LTD.
IBINFO,IB INFOTECH ENTERPRISES LTD.
AMBARPIL,Ambar Protein Industries Ltd
CHORDIA,CHORDIA FOOD PRODUCTS LTD.
CIANAGRO,CIAN Agro Industries & Infrastructure Ltd
TAIIND,TAI INDUSTRIES LTD.-$
NKIND,N.K.INDUSTRIES LTD.
BKV,BKV INDUSTRIES LTD.
NCCBLUE,NCC BLUE WATER PRODUCTS LTD.
ASIANTNE,ASIAN TEA & EXPORTS LTD.-$
HERITGFOOD,Heritage Foods Limited
SIMRAN,SIMRAN FARMS LTD.
DFM,DFM FOODS LTD.
CCL,CCL PRODUCTS (INDIA) LTD.
KELLTONTEC,Kellton Tech Solutions Ltd.
SURFI,SURYO FOODS & INDUSTRIES LTD.
INTEGFD,INTEGRATED PROTEINS LTD.
MAHAANF,MAHAAN FOODS LTD.
RICOAUTO,RICO AUTO INDUSTRIES LTD.
OMAXAUTO,OMAX AUTOS LTD.
MUNJALSHOW,MUNJAL SHOWA LTD.
JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.
SUNCLAYLTD,SUNDARAM-CLAYTON LTD.
JTEKTINDIA,Jtekt India Ltd
MUNJALAU,MUNJAL AUTO INDUSTRIES LTD.
JAYBARMARU,JAY BHARAT MARUTI LTD.
RACLGEAR,RACL Geartech Ltd
SAMKRG,SAMKRG PISTONS & RINGS LTD.-$
ECSTSTL,EAST COAST STEEL LTD.
SICAL,SICAL LOGISTICS LTD.
RATNAMANI,RATNAMANI METALS & TUBES LTD.-$
VESUVIUS,VESUVIUS INDIA LTD.
ASAL,AUTOMOTIVE STAMPINGS & ASSEMBLIES LTD.
ARCEEIN,ARCEE INDUSTRIES LTD.
ABCINDQ,ABC INDIA LTD.-$
BALTE,BALURGHAT TECHNOLOGIES LTD.
COARO,COASTAL ROADWAYS LTD.
SIBARAUT,SIBAR AUTO PARTS LTD.
SHREYAS,SHREYAS SHIPPING & LOGISTICS LTD.
STARLOG,Starlog Enterprises Ltd
SHVSUIT,SHIVA SUITINGS LTD.
ICIL,INDO COUNT INDUSTRIES LTD.
MARALOVER,MARAL OVERSEAS LTD.
SOMATEX,SOMA TEXTILES & INDUSTRIES LTD.
ADVLIFE,ADVANCE LIFESTYLES LTD.
KAKTEX,KAKATIYA TEXTILES LTD.
OCTAVE,Perfect-Octave Media Projects Ltd
TRIDENT,TRIDENT LTD.
HISARSP,HISAR SPINNING MILLS LTD.
ALOKTEXT,ALOK INDUSTRIES LTD.
PASARI,PASARI SPINNING MILLS LTD.
SPENTEX,SPENTEX INDUSTRIES LTD.
AMARJOTHI,AMARJOTHI SPINNING MILLS LTD.
OLYMPTX,OLYMPIA INDUSTRIES LTD.
NAGREEKEXP,NAGREEKA EXPORTS LTD.-$
SUDTIND-B,SUDITI INDUSTRIES LTD.
SBFL,Shree Bhavya Fabrics Ltd
GEMSPIN,GEM SPINNERS INDIA LTD.
EUREKAI,EUREKA INDUSTRIES LTD.
ADITYASP,ADITYA SPINNERS LTD.
PRIMEURB,PRIME URBAN DEVELOPMENT INDIA LTD.
DHANFAB,DHANLAXMI FABRICS LTD.
SLSTLQ,SRI LAKSHMI SARASWATHI TEXTILES (ARNI) LTD.-$
ZODIACLOTH,ZODIAC CLOTHING CO.LTD.
SRMCL,SRI RAMAKRISHNA MILLS (COIMBATORE) LTD.-$
SUPERSPIN,SUPER SPINNING MILLS LTD.
SEASONF,SEASONS FURNISHINGS LTD.
UNITEDTE,UNITED TEXTILES LTD.
SILINV,SIL INVESTMENTS LTD.
SURYALAXMI,SURYALAKSHMI COTTON MILLS LTD.
SAMTEX,SAMTEX FASHIONS LTD.-$
CITYMAN,CITYMAN LTD.
DHANROTO,DHANALAXMI ROTO SPINNERS LTD.
DAMOINDUS,DAMODAR INDUSTRIES LTD.-$
SANBLUE,SANBLUE CORPORATION LTD.
UNIROYAL,UNIROYAL INDUSTRIES LTD.
TATIAGLOB,TATIA GLOBAL VENNTURE LTD.
SUNILTX,SUNIL INDUSTRIES LTD.
SRINACHA,SRI NACHAMMAI COTTON MILLS LTD.-$
SAMBANDAM,SAMBANDAM SPINNING MILLS LTD.-$
CHITRTX,CHITRADURGA SPINTEX LTD.
KITEX,KITEX GARMENTS LTD.
CRANEX,CRANEX LTD.
BATLIBOI,BATLIBOI LTD.-$
AUSTENG,AUSTIN ENGINEERING CO.LTD.
UNIDT,UNITED DRILLING TOOLS LTD.
FLUIDOM,FLUIDOMAT LTD.
EMAINDIA,EMA INDIA LTD.
WINDMACHIN,WINDSOR MACHINES LTD.
SHANTIGEAR,SHANTHI GEARS LTD.
MIVENMACH,MIVEN MACHINE TOOLS LTD.
HONDAPOWER,Honda India Power Products Ltd
HITECHGEAR,The Hi-Tech Gears Ltd
ELGIEQUIP,ELGI EQUIPMENTS LTD.
UVDRHOR,UNITED VAN DER HORST LTD.
KLBRENG-B,KILBURN ENGINEERING LTD.
BIRLAPREC,BIRLA PRECISION TECHNOLOGIES LTD.
YUKEN,YUKEN INDIA LTD.-$
TIMKEN,TIMKEN INDIA LTD.
VOITHPAPR,VOITH PAPER FABRICS INDIA LTD.-$
ARTSONEN,ARTSON ENGINEERING LTD.
SOLIMAC,SOLITAIRE MACHINE TOOLS LTD.
DIAPOWER,Diamond Power Infrastructure Limited-$
INDSILHYD,INDSIL HYDRO POWER AND MANGANESE LTD.-$
TMTIND-B1,TMT (INDIA) LTD.
ITL,ITL INDUSTRIES LTD.-$
FRONTSP,FRONTIER SPRINGS LTD.
PRAJIND,PRAJ INDUSTRIES LTD.
RASANDIK,RASANDIK ENGINEERING INDUSTRIES INDIA LTD.-$
YOGISUNG,YOGI SUNG-WON (INDIA) LTD.
HLEGLAS,HLE Glascoat Ltd
GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LTD.
TANAA,TANEJA AEROSPACE & AVIATION LTD.-$
CONART,CONART ENGINEERS LTD.-$
SHIVAGR,SHIVAGRICO IMPLEMENTS LTD.
MMFL,M.M.FORGINGS LTD.-$
IYKOTHITE,IYKOT HITECH TOOLROOM LTD.
MAYURUNIQ,MAYUR UNIQUOTERS LTD.-$
CENLUB,CENLUB INDUSTRIES LTD.
RAJOOENG,RAJOO ENGINEERS LTD.-$
JMCPROJECT,JMC PROJECTS (INDIA) LTD.-$
VJLAXMIE,VEEJAY LAKSHMI ENGINEERING WORKS LTD.-$
AHMDSTE,AHMEDABAD STEELCRAFT LTD.
GET&D,GE T&D India Ltd
RAMRAT,RAM RATNA WIRES LTD.-$
JAYNECOIND,JAYASWAL NECO INDUSTRIES LTD.
KALPATPOWR,KALPATARU POWER TRANSMISSION LTD.
NMSRESRC,NMS Resources Global Ltd
CHANDNI,Chandni Textiles Engineering Ind. Ltd
TIGLOB,T & I GLOBAL LTD.
CONTROLPR,CONTROL PRINT LTD.-$
BEMHY,BEMCO HYDRAULICS LTD.
ANSALBU,ANSAL BUILDWELL LTD.-$
WEIZMANIND,WEIZMANN LTD.
BNRSEC,B.N.RATHI SECURITIES LTD.
RISHITECH,RISHI TECHTEX LTD.
SINCLAIR,SINCLAIRS HOTELS LTD.-$
SAFARIND,SAFARI INDUSTRIES (INDIA) LTD.
ZBINTXPP,BINAYAK TEX PROCESSORS LTD.
JJFINCOR,J.J.FINANCE CORPORATION LTD.
COSMOFE,COSMO FERRITES LTD.-$
ZPPOLYSA,PLANTER POLYSACKS LTD.
FUTURSEC,FUTURISTIC SECURITIES LTD.
SANCTRN,SANCO TRANS LTD.
ADORMUL,ADOR MULTIPRODUCTS LTD.
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD.-$
MEDICAPQ,MEDI-CAPS LTD.-$
OTCO,OTCO INTERNATIONAL LTD.
MORGANITE,MORGANITE CRUCIBLE (INDIA) LTD.
SIPIND,SIP INDUSTRIES LTD.
BAPACK,B&A Packaging India Limited
ABAN,ABAN OFFSHORE LTD.
KOKUYOCMLN,KOKUYO CAMLIN LTD.-$
SRMENERGY,SRM ENERGY LTD.
BHARATSE,BHARAT SEATS LTD.-$
CONTPTR,CONTINENTAL PETROLEUMS LTD.
NBFOOT,NB FOOTWEAR LTD.
MACPLASQ,MACHINO PLASTICS LTD.-$
PEARLPOLY,PEARL POLYMERS LTD.
VENKYS,VENKY'S (INDIA) LTD.
ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.
GVFILM,GV FILMS LTD.
SUPERHOUSE,SUPERHOUSE LTD.
RAMAVISION,RAMA VISION LTD.
TCPLPACK,TCPL PACKAGING LTD.-$
PURITY,PURITY FLEX PACK LTD.
BALMLAWRIE,BALMER LAWRIE & CO.LTD.
KOVAI,KOVAI MEDICAL CENTER & HOSPITAL LTD.
ELDEHSG,ELDECO HOUSING & INDUSTRIES LTD.
MICROSE,MICROSE INDIA LTD.
STDSHOE,STANDARD SHOE SOLE AND MOULD (INDIA) LTD.
DCMSHRIRAM,DCM Shriram Limited
DCMSRMIND,DCM SHRIRAM INDUSTRIES LTD.-$
MAWANASUG,MAWANA SUGARS LTD.
MINID,MINI DIAMONDS (INDIA) LTD.
MAHAPEXLTD,MAHA RASHTRA APEX CORPORATION LTD.
NILKAMAL,NILKAMAL LTD.
NAHARPOLY,NAHAR POLYFILMS LTD.
3MINDIA,3M INDIA LTD.
JCHAC,Johnson Controls-Hitachi Air Conditioning India Ltd
JMFINANCIL,JM FINANCIAL LTD.-$
ADCINDIA,ADC India Communications Limited-$
TNTELE,TAMILNADU TELECOMMUNICATIONS LTD.
SUNRAJDI,SUNRAJ DIAMOND EXPORTS LTD.
RIIL,RELIANCE INDUSTRIAL INFRASTRUCTURE LTD.
SHARP,SHARP INDIA LTD.
LINDEINDIA,Linde India Limited
INDBNK,IND BANK HOUSING LTD.
LOTUSCHO,LOTUS CHOCOLATE CO.LTD.
PACIFICI,PACIFIC INDUSTRIES LTD.
CMMHOSP,CHENNAI MEENAKSHI MULTISPECIALITY HOSPITAL LTD.-$
UNIOFFICE,UNIVERSAL OFFICE AUTOMATION LTD.
APMIN,APM INDUSTRIES LTD.-$
PRECWIRE,PRECISION WIRES INDIA LTD.
KRYPTONQ,KRYPTON INDUSTRIES LTD.
MARBU,MARTIN BURN LTD.
FEL,Future Enterprises Ltd
INDTONER,INDIAN TONERS & DEVELOPERS LTD.-$
KUNSTOFF,KUNSTSTOFFE INDUSTRIES LTD.
SCI,SHIPPING CORPORATION OF INDIA LTD.
SIKA,SIKA INTERPLANT SYSTEMS LTD.
ITI,ITI LTD.
DREDGECORP,DREDGING CORPORATION OF INDIA LTD.
PHRMASI,PHAARMASIA LTD.
PODDAR,Poddar Housing and Development Ltd
NFL,NATIONAL FERTILIZERS LTD.
IPRINGLTD,IP RINGS LTD.-$
PIIND,PI Industries Ltd
PLASTIBLEN,PLASTIBLENDS INDIA LTD.-$
REDEXPR,REDEX PROTECH LTD.
KKPLASTICK,Kkalpana Plastick Limited
WATERBASE,WATERBASE LTD.
FLEXFO,FLEX FOODS LTD.-$
GOLKUNDIA,GOLKUNDA DIAMONDS & JEWELLERY LTD.
APCOTEXIND,APCOTEX INDUSTRIES LTD.
FORTISMLR,Fortis Malar Hospitals Limited
MASTEK,MASTEK LTD.
EIMCOELECO,EIMCO ELECON (INDIA) LTD.
SAYAJIHOTL,SAYAJI HOTELS LTD.
JMGCORP,JMG CORPORATION LTD.
ASHIANA,ASHIANA HOUSING LTD.-$
SVAMSOF,SVAM SOFTWARE LTD.
ECOBOAR,ECOBOARD INDUSTRIES LTD.
DVL,Dhunseri Ventures Ltd-$
IOSYSTEM,IO SYSTEM LTD.
MAHEPC,Mahindra EPC Irrigation Ltd
SREINFRA,SREI INFRASTRUCTURE FINANCE LTD.
MITSHI,Mitshi India Ltd
SHUKJEW,SHUKRA JEWELLERS LTD.
MAZDALTD,MAZDA LTD.-$
VICEROY,VICEROY HOTELS LTD.
SOVERDIA,SOVEREIGN DIAMONDS LTD.
MENONBE,MENON BEARINGS LTD.-$
MUKATPIP,MUKAT PIPES LTD.-$
GUJRAFIA,GUJARAT RAFFIA INDUSTRIES LTD.
SIMPLEXINF,SIMPLEX INFRASTRUCTURES LTD.
INNOVTEC,INNOVATIVE TECH PACK LTD.
SUPTANERY,Super Tannery Limited
AXTEL,AXTEL INDUSTRIES LTD.
PIFL,Pacheli Industrial Finance Ltd
VRWODAR,V R WOODART LTD.
APIL,Avi Products India Ltd
POONAWALLA,Poonawalla Fincorp Ltd
HINFLUR,HINDUSTAN FLUOROCARBONS LTD.
KINGFA,Kingfa Science & Technology (India) Ltd-$
PATIDAR,Patidar Buildcon Limited
RAMAPHO,RAMA PHOSPHATES LTD.
VENLONENT,VENLON ENTERPRISES LTD.
POLYPLEX,POLYPLEX CORPORATION LTD.
ALBERTDA,ALBERT DAVID LTD.-$
HARLETH,HARYANA LEATHER CHEMICALS LTD.
ACRYSIL,ACRYSIL LTD.
KABRAEXTRU,KABRA EXTRUSIONTECHNIK LTD.
VINYLINDIA,VINYL CHEMICALS (INDIA) LTD.
PCCOSMA,PEE CEE COSMA SOPE LTD.
TCMLMTD,TCM LTD.
IOLCP,IOL CHEMICALS & PHARMACEUTICALS LTD.
VINATIORGA,VINATI ORGANICS LTD.-$
LACTOSE,LACTOSE (INDIA) LTD.
AARTIIND,AARTI INDUSTRIES LTD.
WANBURY,WANBURY LTD.
RESONANCE,RESONANCE SPECIALTIES LTD.-$
GAEL,GUJARAT AMBUJA EXPORTS LTD.
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.
KOPRAN,KOPRAN LTD.
AIMCOPEST,AIMCO PESTICIDES LTD.
GUJTERC,GUJARAT TERCE LABORATORIES LTD.
SEYAIND,SEYA INDUSTRIES LTD.
JAYAGROGN,JAYANT AGRO-ORGANICS LTD.
BCLIL,BCL Industries Ltd-$
SHHARICH,SHREE HARI CHEMICALS EXPORT LTD.
INDOBORAX,INDO BORAX & CHEMICALS LTD.-$
AARTIDRUGS,AARTI DRUGS LTD.
BODALCHEM,BODAL CHEMICALS LTD.
ORCHIDPHAR,Orchid Pharma Ltd
VIMTALABS,VIMTA LABS LTD.-$
BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTICALS LTD.
ISHITADR,ISHITA DRUGS & INDUSTRIES LTD.
MARKSANS,MARKSANS PHARMA LTD.
UNIVSTAR,UNIVERSAL STARCH-CHEM ALLIED LTD.
AREYDRG,AAREY DRUGS & PHARMACEUTICALS LTD.
NORRIS,NORRIS MEDICINES LTD.
ASINPET,ASIAN PETROPRODUCTS & EXPORTS LTD.
CAMEXLTD,CAMEX LTD.
EVEXIA,Evexia Lifecare Ltd
INDOEURO,INDO EURO INDCHEM LTD.
SYNCOMF,SYNCOM FORMULATIONS (INDIA) LTD.-$
RIDDHI,RIDDHI SIDDHI GLUCO BIOLS LTD.-$
SVCIND,SVC INDUSTRIES Ltd
IPCALAB,IPCA LABORATORIES LTD.
KILITCH,KILITCH DRUGS (INDIA) LTD.
RAAJMEDI,RAAJ MEDISAFE INDIA LTD.
CORALAB,CORAL LABORATORIES LTD.
TULASEEBIOE,TULASEE BIO-ETHANOL LTD.
BACPHAR,BACIL PHARMA LTD.
KREBSBIO,KREBS BIOCHEMICALS & INDUSTRIES LTD.-$
KMCSHIL,KMC SPECIALITY HOSPITALS (INDIA) LTD.
LAFFANSQ,LAFFANS PETROCHEMICALS LTD.-$
BHASKAGR,BHASKAR AGROCHEMICALS LTD.
SUKHJITS,SUKHJIT STARCH & CHEMICALS LTD.-$
NEULANDLAB,NEULAND LABORATORIES LTD.
GAYATRIBI,GAYATRI BIOORGANICS LTD.
PODARPIGQ,PODDAR PIGMENTS LTD.-$
PHARMAID,PHARMAIDS PHARMACEUTICALS LTD.
VIVIDIND,VIVID GLOBAL INDUSTRIES LTD.
PRIYALT,PRIYA LTD.-$
TIRUSTA,TIRUPATI STARCH & CHEMICALS LTD.
HEMORGANIC,Hemo Organic Limited
JDORGOCHEM,JD ORGOCHEM LTD.
ASHOKALC,ASHOK ALCO-CHEM LTD.
AKSCHEM,AKSHARCHEM (INDIA) LTD.-$
KAMRLAB,KAMRON LABORATORIES LTD.
BERLDRG,BERYL DRUGS LTD.
INDXTRA,IEL Ltd
ISTRNETWK,iStreet Network Limited
GAGAN,GAGAN GASES LTD.
PARKERAC,PARKER AGROCHEM EXPORTS LTD.-$
SHUKRAPHAR,Shukra Pharmaceuticals Ltd
ALUFLUOR,ALUFLUORIDE LTD.
SSORGS,SS ORGANICS LTD.
ARCHITORG,ARCHIT ORGANOSYS LTD.
SIKOZY,Sikozy Realtors Limited
INDOAMIN,INDO AMINES LTD.-$
INDSWFTLTD,IND-SWIFT LTD.
NATCAPSUQ,NATURAL CAPSULES LTD.
WELCURE,WELCURE DRUGS & PHARMACEUTICALS LTD.
BIBCL,BHARAT IMMUNOLOGICALS & BIOLOGICALS CORPORATION LTD.-$
SOTL,SAVITA OIL TECHNOLOGIES LTD.
HESTERBIO,HESTER BIOSCIENCES LTD.
KABSON,KABSONS INDUSTRIES LTD.
BASANTGL,BASANT AGRO TECH (INDIA) LTD.-$
SANDUPHQ,SANDU PHARMACEUTICALS LTD.
NACLIND,NACL Industries Ltd
VISTAPH,VISTA PHARMACEUTICALS LTD.
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.
TITANBIO,TITAN BIOTECH LTD.
BIJHANS,BIJOY HANS LTD.
SDL,Span Divergent Ltd-$
JENBURPH,JENBURKT PHARMACEUTICALS LTD.
HIKAL,HIKAL LTD.
CAPPL,CAPLIN POINT LABORATORIES LTD.
FISCHER,FISCHER CHEMIC LTD.
LINKPH,LINK PHARMA CHEM LTD.
DECIPHER,Decipher Labs Ltd
EMMESSA,EMMESSAR BIOTECH & NUTRITION LTD.
NGLFINE,NGL FINE-CHEM LTD.
EVERESTO,EVEREST ORGANICS LTD.
AUROPHARMA,AUROBINDO PHARMA LTD.
PHYTO,PHYTO CHEM (INDIA) LTD.
NATCOPHARM,NATCO PHARMA LTD.
DYNAMIND,DYNAMIC INDUSTRIES LTD.-$
PANAMAPET,PANAMA PETROCHEM LTD.
BALPHARMA,BAL PHARMA LTD.
BDH,BDH INDUSTRIES LTD.
JAUSPOL,JAUSS POLYMERS LTD.
GLOBUSCON,Globus Constructors & Developers Limited
CUBEXTUB,CUBEX TUBINGS LTD.
POLYCHMP,POLYMECHPLAST MACHINES LTD.
STELLANT,STELLANT SECURITIES (INDIA) LTD.
GALXBRG,GALAXY BEARINGS LTD.
SCAGRO,SC Agrotech Ltd
RALEGRA,RAVILEELA GRANITES LTD.
UNRYLMA,UNIROYAL MARINE EXPORTS LTD.
KARANWO,KARAN WOO-SIN LTD.
SHERVANI,SHERVANI INDUSTRIAL SYNDICATE LTD.
ARHNTTO,ARIHANT TOURNESOL LTD.
SUPERTEX,SUPERTEX INDUSTRIES LTD.
SHETR,SHETRON LTD.
TRABI,TRANSGENE BIOTEK LTD.
MPL,MPL Plastics Limited
NIKHILAD,NIKHIL ADHESIVES LTD.-$
SPENTA,SPENTA INTERNATIONAL LTD.
MULTIBASE,MULTIBASE INDIA LTD.
ANDREWYU,ANDREW YULE & COMPANY LTD.
LUDLOWJUT,LUDLOW JUTE & SPECIALITIES LTD.
ASHRAM,ASHRAM ONLINE.COM LTD.
ROYALCU,ROYAL CUSHION VINYL PRODUCTS LTD.-$
NOGMIND,NEOGEM INDIA LTD.
SURJIND,SURAJ INDUSTRIES LTD.
HITECHCORP,Hitech Corporation Ltd-$
BLOOM,BLOOM DEKOR LTD.-$
FILATEX,FILATEX INDIA LTD.-$
STDSFAC,STANDARD SURFACTANTS LTD.
MERCATOR,MERCATOR LTD.-$
MORGAN,MORGAN VENTURES LTD.
AMRAPLIN,AMRAPALI INDUSTRIES LTD.
PREMEXPLQ,PREMIER EXPLOSIVES LTD.
MIDEASTP,MID EAST PORTFOLIO MANAGEMENT LTD.
MOLDTEK,MOLD-TEK TECHNOLOGIES LTD.
CRSTCHM,CRESTCHEM LTD.
MPHASIS,MPHASIS LTD.
MEDINOV,MEDINOVA DIAGNOSTIC SERVICES LTD.
DIVSHKT,DIVYASHAKTI GRANITES LTD.
ORIENTLTD,ORIENT PRESS LTD.
SHREYASI,SHREYAS INTERMEDIATES LTD.
PARTIND,Parth Industries Limited
DUROPACK,DUROPACK LTD.
SWARNSAR,Swarnsarita Gems Ltd
GANESHHOUC,GANESH HOUSING CORPORATION LTD.-$
NMDC,NMDC LTD.
CINDHO,CINDRELLA HOTELS LTD.-$
PATINTLOG,PATEL INTEGRATED LOGISTICS LTD.-$
ALPHAGEO,ALPHAGEO (INDIA) LTD.-$
RPIL,RITESH PROPERTIES & INDUSTRIES LTD.
KKALPANAIND,Kkalpana Industries (India) Ltd
OKPLA,OK PLAY INDIA LTD.
KRITIIND,KRITI INDUSTRIES (INDIA) LTD.-$
WELTI,WELTERMAN INTERNATIONAL LTD.
ASMTEC,ASM TECHNOLOGIES LTD.
PERFEPA,PERFECTPAC LTD.
VISIONCINE,VISION CINEMAS LTD.
INDRANIB,INDRAYANI BIOTECH LTD.
EUROLED,EURO LEDER FASHION LTD.
WINSOMBR,WINSOME BREWERIES LTD.
ELEFLOR,ELEGANT FLORICULTURE & AGROTECH (INDIA) LTD.
SAENTER,SOUTH ASIAN ENTERPRISES LTD.
SKYIND,SKY INDUSTRIES LTD.-$
PHOENXINTL,PHOENIX INTERNATIONAL LTD.
AARVINFRA,AARV Infratel Ltd
RISHIROOP,Rishiroop Ltd
PROMACT,Promact Impex Ltd
STRGRENWO,STERLING GREEN WOODS LTD.
DOLPHMED,DOLPHIN MEDICAL SERVICES LTD.
SYSTMTXC,SYSTEMATIX CORPORATE SERVICES LTD.
ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.
SANGHIIND,SANGHI INDUSTRIES LTD.
WWALUM,Worldwide Aluminium Ltd
SFPIL,Square Four Projects India Limited
SCANPGEOM,SCANPOINT GEOMATICS LTD.
CHOKSILA,CHOKSI LABORATORIES LTD.
CCHHL,Country Club Hospitality & Holidays Ltd
SALGUTI,SALGUTI INDUSTRIES LTD.
LONTE,LONGVIEW TEA COMPANY LTD.
MIDWEST,MIDWEST GOLD LTD.
ENTRINT,ENTERPRISE INTERNATIONAL LTD.
TECHIN,TECHINDIA NIRMAN LIMITED
TPLPLAST,TPL PLASTECH LTD.
WIMPLAST,WIM PLAST LTD.-$
PHOTOQUP,PHOTOQUIP INDIA LTD.
LIBERTSHOE,LIBERTY SHOES LTD.
LIPPISYS,LIPPI SYSTEMS LTD.-$
ELECTHERM,ELECTROTHERM (INDIA) LTD.
BLUEDART,BLUE DART EXPRESS LTD.
EXPOGAS,EXPO GAS CONTAINERS LTD.
NATPLAS,NATIONAL PLASTIC INDUSTRIES LTD.
MFLINDIA,MFL INDIA LTD.
AJWAFUN,AJWA FUN WORLD & RESORT LTD.
TEXELIN,TEXEL INDUSTRIES LTD.
RAYALEMA,ROYALE MANOR HOTELS & INDUSTRIES LTD.
MIRZAINT,MIRZA INTERNATIONAL LTD.
TFCILTD,TOURISM FINANCE CORPORATION OF INDIA LTD.
THAKDEV,THAKKERS DEVELOPERS LTD.
ARENTERP,RAJDARSHAN INDUSTRIES LTD.
BIL,BHARTIYA INTERNATIONAL LTD.
KAMATHOTEL,KAMAT HOTELS (INDIA) LTD.
DALALSTCOM,DSJ keep Learning Ltd
POLOHOT,POLO HOTELS LTD.
ECOPLAST,ECOPLAST LTD.-$
ELEMARB,ELEGANT MARBLES & GRANI INDUSTRIES LTD.
ADARSHPL,ADARSH PLANT PROTECT LTD.
GOPALA,GOPALA POLYPLAST LTD.
NICCOPAR,NICCO PARKS & RESORTS LTD.-$
NTCIND,NTC INDUSTRIES LTD.
SANDESH,SANDESH LTD.
GARNET,GARNET CONSTRUCTION LTD.
GOLDIAM,GOLDIAM INTERNATIONAL LTD.
BRIGHTBR,BRIGHT BROTHERS LTD.-$
CORPOCO,CORPORATE COURIER AND CARGO LTD.
SHAWGELTIN,NARMADA GELATINES LTD.
PGFOILQ,PG FOILS LTD.
GRATEXI,GRATEX INDUSTRIES LTD.
VELHO,VELAN HOTELS LTD.
HOWARHO,HOWARD HOTELS LTD.
VALIANT,VALIANT COMMUNICATIONS LTD.-$
DRAGARWQ,DR.AGARWALS EYE HOSPITAL LTD.-$
MHSGRMS,MAHASAGAR TRAVELS LTD.
GREENPLY,GREENPLY INDUSTRIES LTD.
UNQTYMI,UNION QUALITY PLASTICS LTD.
SEAMECLTD,SEAMEC LTD.
RAGHUNAT,RAGHUNATH INTERNATIONAL LTD.
CHEVIOT,CHEVIOT CO.LTD.-$
DAICHI,DAI-ICHI KARKARIA LTD.-$
RAJINFRA,Rajeswari Infrastructure Limited
SPICEISL,SPICE ISLANDS APPARELS LTD.-$
CONFIPET,CONFIDENCE PETROLEUM INDIA LTD.
SIPL,SHELTER INFRA PROJECTS LTD.-$
ASHSI,ASHIRWAD STEELS & INDUSTRIES LTD.
BANARBEADS,BANARAS BEADS LTD.
AREXMIS,AREX INDUSTRIES LTD.
BI,BILCARE LTD.-$
ISFL,ISF LIMITED
RISHILASE,RISHI LASER LTD.
JAINCO,JAINCO PROJECTS (INDIA) LTD.
INTECCAP,INTEC CAPITAL LTD.
63MOONS,63 Moons Technologies Ltd
SARLAPOLY,SARLA PERFORMANCE FIBERS LTD.-$
INDOCRED,INDO CREDIT CAPITAL LTD.
MKTCREAT,MARKET CREATORS LTD.
HFIL,Himalaya Food International Ltd
SONALAD,SONAL ADHESIVES LTD.
PADMAIND,Padmanabh Industries Limited
21STCENMGM,TWENTYFIRST CENTURY MANAGEMENT SERVICES LTD.
HRYNSHP,HARIYANA SHIP BREAKERS LTD.-$
ARUNIS,Arunis Abode Ltd
TYROON,TYROON TEA CO.LTD.
LAOPALA,LA OPALA RG LTD.
STYLAMIND,Stylam Industries Limited
VENUSREM,VENUS REMEDIES LTD.
WOODSVILA,WOODSVILLA LTD.
TRANSFIN,TRANS FINANCIAL RESOURCES LTD.
GUJCRAFT,GUJARAT CRAFT INDUSTRIES LTD.
